idVariable,fecha,valor
5,04/03/2002,"2,01"
5,05/03/2002,"1,99"
5,06/03/2002,"2,05"
5,07/03/2002,"2,14"
5,08/03/2002,"2,2"
5,11/03/2002,"2,25"
5,12/03/2002,"2,37"
5,13/03/2002,"2,33"
5,14/03/2002,"2,37"
5,15/03/2002,"2,34"
5,18/03/2002,"2,32"
5,19/03/2002,"2,38"
5,20/03/2002,"2,43"
5,21/03/2002,"2,39"
5,22/03/2002,"2,57"
5,25/03/2002,"3,21"
5,26/03/2002,"2,99"
5,27/03/2002,"2,85"
5,02/04/2002,"2,89"
5,03/04/2002,"2,9"
5,04/04/2002,"2,8"
5,05/04/2002,"2,67"
5,08/04/2002,"2,7"
5,09/04/2002,"2,75"
5,10/04/2002,"2,77"
5,11/04/2002,"2,79"
5,12/04/2002,"2,86"
5,15/04/2002,"2,92"
5,16/04/2002,"2,85"
5,17/04/2002,"2,81"
5,18/04/2002,"2,91"
5,19/04/2002,"3,12"
5,29/04/2002,"3,02"
5,30/04/2002,"2,92"
5,02/05/2002,"3,04"
5,03/05/2002,"3,16"
5,06/05/2002,"3,16"
5,07/05/2002,"3,17"
5,08/05/2002,"3,19"
5,09/05/2002,"3,18"
5,10/05/2002,"3,18"
5,13/05/2002,"3,27"
5,14/05/2002,"3,26"
5,15/05/2002,"3,23"
5,16/05/2002,"3,22"
5,17/05/2002,"3,33"
5,20/05/2002,"3,52"
5,21/05/2002,"3,49"
5,22/05/2002,"3,42"
5,23/05/2002,"3,39"
5,24/05/2002,"3,43"
5,27/05/2002,"3,45"
5,28/05/2002,"3,45"
5,29/05/2002,"3,54"
5,30/05/2002,"3,59"
5,31/05/2002,"3,58"
5,03/06/2002,"3,59"
5,04/06/2002,"3,61"
5,05/06/2002,"3,63"
5,06/06/2002,"3,64"
5,07/06/2002,"3,63"
5,10/06/2002,"3,53"
5,11/06/2002,"3,46"
5,12/06/2002,"3,45"
5,13/06/2002,"3,47"
5,14/06/2002,"3,5"
5,18/06/2002,"3,51"
5,19/06/2002,"3,54"
5,20/06/2002,"3,58"
5,21/06/2002,"3,64"
5,24/06/2002,"3,71"
5,25/06/2002,"3,85"
5,26/06/2002,"3,87"
5,27/06/2002,"3,81"
5,28/06/2002,"3,8"
5,01/07/2002,"3,79"
5,02/07/2002,"3,69"
5,03/07/2002,"3,58"
5,04/07/2002,"3,56"
5,05/07/2002,"3,57"
5,08/07/2002,"3,53"
5,10/07/2002,"3,53"
5,11/07/2002,"3,56"
5,12/07/2002,"3,59"
5,15/07/2002,"3,59"
5,16/07/2002,"3,59"
5,17/07/2002,"3,5"
5,18/07/2002,"3,54"
5,19/07/2002,"3,58"
5,22/07/2002,"3,6"
5,23/07/2002,"3,64"
5,24/07/2002,"3,65"
5,25/07/2002,"3,63"
5,26/07/2002,"3,66"
5,29/07/2002,"3,65"
